Description,Meaning,Source,Type
가시 찔리지 않고 밤 먹을 사람,"밤송이의 그 숱한 가시에 단 한 번도 찔리지 않고 밤을 까먹을 사람이라는 뜻으로, 매우 약은 사람을 비유적으로 이르는 말.",표준국어대사전,속담
가시어머니 모셔다 놓은 듯,까딱하지 않고 하는 일 없이 지내는 모양을 비유적으로 이르는 말.,표준국어대사전,속담
가시어미 모셔다 놓은 듯,"장모에게 모든 일을 맡긴 채 손가락 하나 까닥하지 않고 지낸다는 뜻으로, 조금도 몸을 움직이지 않고 아무 하는 일 없이 지내는 사람을 비유적으로 이르는 말. (=손가락 하나 까딱 안 한다, 손끝으로 물만 튀긴다.)",고려대 한국어대사전,속담
가시어미 장 떨어지자 사위가 국 싫다 한다,"처갓집에 장이 떨어져서 국을 끓일 수 없게 되었는데 마침 사위가 국은 싫어서 먹지 않겠다고 한다는 뜻으로, 어떤 일이 서로 공교롭게도 때맞추어 일어남을 비유적으로 이르는 말.",표준국어대사전,속담
가시한테 찔려야 밤 맛을 안다,"밤알을 얻느라고 밤송이를 까면서 밤 가시에 찔려 봐야 밤 맛이 어떻다는 것을 톡톡히 알 수 있다는 뜻으로, 고생스럽게 힘을 들여야 일의 보람을 찾을 수 있음을 비유적으로 이르는 말.",표준국어대사전,속담
가을 물은 소 발자국에 고인 물도 먹는다,가을 물이 매우 맑고 깨끗함을 비유적으로 이르는 말.,표준국어대사전,속담
가을 밭을 밟으면 떡이 세 개요 봄 밭을 밟으면 뺨이 세 대다,"가을걷이가 끝난 밭은 밟아 주는 것이 좋고, 봄에 얼은 것이 녹아 부드러워진 밭은 밟지 않는 것이 좋다는 것을 이르는 말.",고려대 한국어대사전,속담
가을 상추는 문 걸어 잠그고 먹는다,가을 상추는 특별히 맛이 좋아 남을 주지 않고 저만 먹는다는 말.,고려대 한국어대사전,속담
가을 식은 밥이 봄 양식이다,"먹을 것이 흔한 가을에는 먹지 않고 내놓은 식은 밥이 봄에 가서는 귀중한 양식이 된다는 뜻으로, 풍족할 때 함부로 낭비하지 않고 절약하면 뒷날의 궁함을 면할 수 있음을 비유적으로 이르는 말.",표준국어대사전,속담
가을 아욱국은  계집 내쫓고 먹는다,가을 아욱국이 특별히 맛이 좋아 문 걸고 혼자 먹을 정도라는 것을 이르는 말.,고려대 한국어대사전,속담
가을마당에 빗자루 몽당이를 들고 춤을 추어도 농사 밑이 어둑하다,"가을에 타작을 하여 줄 것은 주고 갚을 것은 갚고 빈손에 빗자루만 남게 되더라도 그래도 남은 것이 있다는 뜻으로, 농사일은 든든한 것임을 이르는 말.",표준국어대사전,속담
가을밭은 안 갈아엎는다,가을에 밭농사가 끝난 뒤에는 그 밭을 그대로 두는 것이 좋다는 말.,표준국어대사전,속담
가을밭을 밟으면 떡이 세 개요 봄밭을 밟으면 뺨이 세 개다,"가을걷이가 끝난 밭은 밟아 주는 것이 좋고, 봄에 녹아서 부푼 밭은 밟으면 안 된다는 것을 비유적으로 이르는 말.",표준국어대사전,속담
가을비는 턱 밑에서도 긋는다,"가을비는 아주 잠깐 오다가 곧 그침을 비유적으로 이르는 말.,그때그때의 잔걱정은 순간적이어서 곧 지나가 버림을 비유적으로 이르는 말.",표준국어대사전,속담
가을에 내 아비 제도 못 지내거든 봄에 의붓아비 제 지낼까,"양식이 풍족한 가을에 아버지 제사도 못 지냈는데 하물며 양식이 떨어진 봄에 의붓아버지의 제사를 지내겠냐는 뜻으로, 형편이 넉넉할 때 꼭 치러야 할 일도 못하는 처지인데 어려운 때에 체면을 차리기 위해서 억지로 힘든 일을 할 수는 없음을 비유적으로 이르는 말.",표준국어대사전,속담
가을에 떨어지는 도토리는 먼저 먹는 것이 임자이다,임자 없는 물건은 누구든 먼저 차지하는 사람의 것이 된다는 말.,우리말샘,속담
가을에 못 지낸 제사를 봄에는 지낼까,"양식이 풍족한 가을에 아버지 제사도 못 지냈는데 하물며 양식이 떨어진 봄에 의붓아버지의 제사를 지내겠냐는 뜻으로, 형편이 넉넉할 때 꼭 치러야 할 일도 못하는 처지인데 어려운 때에 체면을 차리기 위해서 억지로 힘든 일을 할 수는 없음을 비유적으로 이르는 말.",표준국어대사전,속담
가을에 밭에 가면 가난한 친정에 가는 것보다 낫다,가을밭에는 먹을 것이 많다는 말.,표준국어대사전,속담
가을에 친아비 제사도 못 지냈는데 봄에 의붓아비 제사 지낼까,"양식이 풍족한 가을에 아버지 제사도 못 지냈는데 하물며 양식이 떨어진 봄에 의붓아버지의 제사를 지내겠냐는 뜻으로, 형편이 넉넉할 때 꼭 치러야 할 일도 못하는 처지인데 어려운 때에 체면을 차리기 위해서 억지로 힘든 일을 할 수는 없음을 비유적으로 이르는 말.",표준국어대사전,속담
가재걸음 치다,(계획이나 일이) 계획한 방향으로 이루어져 나가지 못하고 질질 끌어지거나 늦추어지다.,고려대 한국어대사전,관용구
가재는 게 편,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말.",표준국어대사전,속담
가재는 게 편이라,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말.",고려대 한국어대사전,속담
가재는 게 편이요 초록은 한 빛이라,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말.",표준국어대사전,속담
가재는 게 편이요 초록은 한 빛이라〔동색이다〕,됨됨이나 형편이 비슷하고 서로 인연이 있는 것끼리 한편이 되어 서로 어울리고 사정을 보아줌을 비유적으로 이르는 말.,고려대 한국어대사전,속담
가죽이 모자라서 눈을 냈는가,"보기 위해서 눈을 냈지 살가죽이 모자라서 눈을 내놓은 것이 아니라는 뜻으로, 남들은 다 잘 보는 것을 보지 못하는 사람을 핀잔하는 말.",표준국어대사전,속담
가지 나무에 목을 맨다,"워낙 딱하고 서러워서 목맬 나무의 크고 작음을 가리지 않고 죽으려 한다는 뜻으로, 이것저것 가릴 처지가 아님을 비유적으로 이르는 말.",표준국어대사전,속담
가지 많은 나무가 잠잠할 적 없다,"가지가 많고 잎이 무성한 나무는 살랑거리는 바람에도 잎이 흔들려서 잠시도 조용한 날이 없다는 뜻으로, 자식을 많이 둔 어버이에게는 근심, 걱정이 끊일 날이 없음을 비유적으로 이르는 말.",표준국어대사전,속담
가지 많은 나무에〔나무가〕바람 잘 날〔잠잠할 적〕이 없다,자식을 많이 둔 어버이에게는 근심이나 걱정이 끊일 날이 없음을 비유적으로 이르는 말. (=새끼 많이 둔 소 길마 벗을 날 없다.),고려대 한국어대사전,속담
각광 받다,많은 사람들로부터 주목을 받다.,우리말샘,관용구
각담 밑에 구렝이 있고 북데기 속에 알이 있다,보통 대하게 되는 평범한 곳에 값진 물건이나 인재가 있음을 비유적으로 이르는 말. <동의 속담> ‘북데기 속에 벼알이 있다’,우리말샘,속담
각설이 떼에게서는 장타령밖에 나올 것이 없다,"장타령을 부르며 동냥하여 얻어먹고 다니는 각설이 떼에게서 나올 것이란 장타령밖에 없다는 뜻으로, 본바탕이 하찮은 것에서는 크게 기대할 만한 결과가 나올 수 없음을 이르는 말. <동의 속담> ‘각설이의 장타령’",우리말샘,속담
각을 떠서 매 밥을 만들어도 시원치 않다,"사지를 따로따로 떠서 매 먹이를 만들어도 맺힌 속마음이 풀리지 않겠다는 뜻으로, 뼈에 사무치게 증오스러운 대상을 벼르면서 욕하는 말.",우리말샘,속담
각전 시정 통 비단 감듯,"장사치가 솜씨 있게 통비단을 감듯 한다는 뜻으로, 매우 능숙하게 일을 꾸려 간다는 것을 비유적으로 이르는 말.",고려대 한국어대사전,속담
간 곳 없다 / 간 데 없다,(무엇이) 완전히 없어지다.,고려대 한국어대사전,관용구
간 녹이다,"(어떤 사람이 다른 사람의) 마음을 몹시 애타게 하다.,(어떤 사람이 다른 사람의) 마음을 매혹하거나 환심을 얻다.",고려대 한국어대사전,관용구
간 뒤집히다,까닭 없이 웃음을 나무라는 말.,표준국어대사전,관용구
간 떨리다,(사람이) 안달하거나 초조해하다.,고려대 한국어대사전,관용구
간 마르다,몹시 초조하거나 안타까워서 속이 상하다.,표준국어대사전,관용구
간 말리다,근심과 걱정으로 초조해하고 안타까워하다.,표준국어대사전,관용구
간 바람 들다,하는 행동이 실없다.,표준국어대사전,관용구
간 불붙다,"당한 일이 몹시 다급하여 간장이 타는 것 같다.,몹시 울화가 나다.",표준국어대사전,관용구
간 빼 먹다,(비유적으로) 겉으로는 비위를 맞추며 좋게 대하는 척하면서 요긴한 것을 다 빼앗다.,우리말샘,관용구
간 작다,대담하지 못하고 몹시 겁이 많다.,우리말샘,관용구
간 조이다,‘간(을) 졸이다’의 북한 관용구.,우리말샘,관용구
간 졸이다,매우 걱정되고 불안스러워 마음을 놓지 못하다.,표준국어대사전,관용구
간 타다,너무 근심스럽고 안타까워 속이 타는 듯하다.,표준국어대사전,관용구
간덩이 붓다,‘간(이) 붓다’를 속되게 이르는 말.,표준국어대사전,관용구
간덩이 작다,‘간(이) 작다’를 속되게 이르는 말.,표준국어대사전,관용구
