Description,Meaning,Source,Type
방위 보아 똥 눈다,"사람의 됨됨이를 보아서 대접함을 이르는 말.,잘 살펴서 경우에 맞는 처사를 한다는 말.",고려대 한국어대사전,속담
방패연의 갈개발 같다,"방패연의 꼬리에 달린 종이 같다는 뜻으로, 무엇이 특별히 길게 치렁치렁 늘어진 모양을 비유적으로 이르는 말.",우리말샘,속담
방패연의 갈개발〔갈기〕 같다,"방패연 꼬리에 달린 종이 같다는 뜻으로, 무엇이 특별히 길게 늘어진 모양을 비유적으로 이르는 말.",고려대 한국어대사전,속담
밭 갈 줄 모르는 소 멍에 나무란다,자기의 능력이나 기술이 모자람은 생각하지 아니하고 객관적인 조건만 탓함을 비유적으로 이르는 말.,표준국어대사전,속담
밭 장자는 있어도 논 장자는 없다,"밭으로 벌이를 하여 큰 부자가 된 경우는 있어도 논으로 벌이를 하여 큰 부자가 되는 경우는 없다는 뜻으로, 밭농사가 논농사보다 수입이 더 좋음을 비유적으로 이르는 말.",표준국어대사전,속담
밭 팔아 논 사면 좋아도 논 팔아 밭 사면 안 된다,"밭보다 귀중한 논을 팔아서 밭을 사는 어리석은 짓은 하지 말라는 뜻으로, 살림을 차차로 늘려 나가지 아니하고 오히려 줄어들게 하면 안 된다는 것을 비유적으로 이르는 말.",표준국어대사전,속담
밭 팔아 논 살 때는 이밥 먹자는 뜻,"있는 밭을 팔아서 논을 살 때는 논에서 나는 흰쌀로 쌀밥을 먹어 보자는 의도였다는 뜻으로, 못한 것을 버리고 나은 것을 취할 때는 더 낫게 되기를 바라서인데 오히려 그보다 못함을 비유적으로 이르는 말.",표준국어대사전,속담
밭 팔아 논 살 때는 이밥〔흰 쌀밥〕 먹자는 뜻,못한 것을 버리고 나은 것을 취할 때는 더 낫게 되기를 바란 것이었는데 오히려 그보다 못한 경우에 이르는 말.,고려대 한국어대사전,속담
밭에 풀이 무성하면 범이 새끼 친다,"논밭의 김을 잘 매야 함을 이르는 말.,무슨 일이나 제때에 처리하지 아니하고 어지럽게 내버려 두면 나중에는 나쁜 결과가 생김을 비유적으로 이르는 말. ≒밭에서 호랑이가 새끼 치게 되였다「2」ㆍ범이 새끼를 치게 되였다「2」.",표준국어대사전,속담
밭에서 호랑이가 새끼 치게 되였다,"[같은 속담] 밭에 풀이 무성하면 범이[호랑이가] 새끼 친다「1」.,[같은 속담] 밭에 풀이 무성하면 범이[호랑이가] 새끼 친다「2」.",표준국어대사전,속담
밭이 다르다,(형제나 자매가) 아버지는 같고 어머니는 다르다. (=배가 다르다.),고려대 한국어대사전,관용구
배 내밀다,"남의 요구에 응하지 아니하고 버티다.,자기밖에 없는 듯 몹시 우쭐거리다.",표준국어대사전,관용구
배 두드리다,생활이 풍족하거나 살림살이가 윤택하여 안락하게 지내다.,표준국어대사전,관용구
배 맞다,"(남자가 여자와, 또는 남녀가) 몰래 정을 통하다.,(어떤 사람이 다른 사람과, 또는 둘 이상의 사람이) 마음이나 배짱이 서로 통하다.",고려대 한국어대사전,관용구
배 먹고 배 속으로 이를 닦는다,"배를 먹으면 이까지 하얗게 닦아진다는 뜻으로, 한 가지 일에 두 가지 이로움이 있음을 비유적으로 이르는 말.",표준국어대사전,속담
배 먹고 이 닦기,"배를 먹으면 이까지 하얗게 닦아진다는 뜻으로, 한 가지 일에 두 가지 이로움이 있음을 비유적으로 이르는 말.",표준국어대사전,속담
배 불리다,재물이나 이득을 많이 차지하여 사리사욕을 채우다.,표준국어대사전,관용구
배 썩은 것은 딸 주고 밤 썩은 것은 며느리 준다,"그래도 먹을 수 있는 썩은 배는 딸을 주고 전혀 먹을 수 없는 썩은 밤은 며느리를 준다는 뜻으로, 사람은 보통 며느리보다는 딸을 더 아끼게 마련이라는 말. (=양식 없는 동자는 며느리 시키고 나무 없는 동자는 딸...",고려대 한국어대사전,속담
배 썩은 것은 딸을 주고 밤 썩은 것은 며느리 준다,"그래도 얼마간 먹을 수 있는 썩은 배는 딸을 주고 전혀 먹을 것이 없는 썩은 밤은 며느리를 준다는 뜻으로, 며느리보다는 자기가 낳은 딸을 더 아낌을 비유적으로 이르는 말.",표준국어대사전,속담
배 아프다,남이 잘되어 심술이 나다.,표준국어대사전,관용구
배 안엣 조부는 있어도 배 안엣 형은 없다,"자기보다 나이가 어린 사람이 할아버지뻘은 될 수 있으나, 자기보다 나이가 어린 사람에게 형이라고 할 수는 없음을 비유적으로 이르는 말.",표준국어대사전,속담
배 안엣〔안에〕 조부는 있어도 배 안엣〔안에〕 형은 없다,"자기보다 나이 어린 사람이 할아버지뻘은 될 수 있으나, 나이 어린 사람을 두고 형이라고 할 수는 없다는 말.",고려대 한국어대사전,속담
배 안의 아이 아들 아니면 딸이다,쓸데없는 걱정을 하는 경우를 핀잔하는 말.,표준국어대사전,속담
배 앓다,남 잘되는 것에 심술이 나서 속을 태우다.,표준국어대사전,관용구
배 잡다,(사람이) 몹시 우스워 크게 웃다.,고려대 한국어대사전,관용구
배 주고 속 빌어먹는다,"자기의 배를 남에게 주고 다 먹고 난 그 속을 얻어먹는다는 뜻으로, 자기의 큰 이익은 남에게 주고 거기서 조그만 이익만을 얻음을 비유적으로 이르는 말.",표준국어대사전,속담
배 지나간 자리,아무 흔적도 남지 아니한 상태를 비유적으로 이르는 말.,표준국어대사전,관용구
배 채우다〔불리다〕,(사람이) 많은 재물 따위로 욕심을 채우다.,고려대 한국어대사전,관용구
배 퉁기다,(사람이) 남의 요구에 응하지 않고 고자세로 버티다. (=배(를) 내밀다.),고려대 한국어대사전,관용구
배가 남산만 하다,"배가 많이 나왔다는 뜻으로, 임신부의 배가 부름을 비유적으로 이르는 말.,몹시 살이 찜을 비유적으로 이르는 말.,되지못하게 거만하고 떵떵거림을 놀림조로 이르는 말.",고려대 한국어대사전,속담
배가 다르다,(형제나 자매가) 아버지는 같으나 어머니는 다르다. (=밭이 다르다.),고려대 한국어대사전,관용구
배가 부르니까 제 세상인 줄 안다,어렵게 살던 사람이 갑자기 부자가 되면 교만하고 무례해지기 쉽다는 말.,고려대 한국어대사전,속담
배가 부르다,"(사람이) 경제적으로 넉넉하다.,(사람이) 아쉬울 것이 없다.",고려대 한국어대사전,관용구
배고프고 춥다,"못 먹어 배고프고 못 입어 춥다는 말로, 매우 가난한 신세를 이르는 말.",고려대 한국어대사전,속담
배고프다고 바늘로 허리 저리랴,어려운 경우를 당했다 하여 무리한 짓을 할 수는 없다는 말.,고려대 한국어대사전,속담
배고픈 놈더러 요기시키란다,"자기 배도 채우지 못하고 굶고 있는 사람에게 시장기를 겨우 면할 정도로 조금 먹여 달란다는 뜻으로, 제 앞가림도 못하는 사람에게 어려운 일을 요구함을 비유적으로 이르는 말.",표준국어대사전,속담
배고픈 데는 밥이 약이라,배가 고파서 기운을 못 쓰는 사람에게는 밥을 먹이는 것이 제일 효과적이라는 말.,표준국어대사전,속담
배고픈 자는 찬밥이라도 달게 먹는다,"배가 고프면 먹다가 남겨 둔 찬밥일지라도 맛있게 먹는다는 뜻으로, 굶주린 때에는 아무것이나 다 맛이 있는 법임을 비유적으로 이르는 말.,궁한 처지에 이르면 이것저것 가릴 형편이 못 되고 닥치는 대로 받아들이게 됨을 비유적으로 이르는 말.",표준국어대사전,속담
배꼽 밑에 털 나다,(사람이) 자라서 어른이 되다.,고려대 한국어대사전,관용구
배꼽 웃다,하는 짓이 하도 어이가 없거나 어린아이의 장난 같아서 가소롭기 짝이 없다.,표준국어대사전,관용구
배꼽 쥐다,웃음을 참지 못하여 배를 움켜잡고 크게 웃다.,표준국어대사전,관용구
배꼽 쥐다〔잡다〕,(사람이) 웃음을 참지 못하고 크게 웃다. (=허리(를) 잡다.),고려대 한국어대사전,관용구
배꼽도 덜 떨어지다,(사람이) 매우 어리석다.,고려대 한국어대사전,관용구
배꼽에 어루쇠를 붙인 것 같다,"배꼽에 거울을 붙이고 다녀서 모든 것을 속까지 훤히 비춰 본다는 뜻으로, 눈치가 빠르고 경우가 밝아 남의 마음을 잘 알아차림을 비유적으로 이르는 말.",고려대 한국어대사전,속담
배나무 밑에 앉아 선 배 떨어지기를 기다린다,"배나무 밑에 앉아서 배라도 떨어지면 가지겠다고 기다린다는 뜻으로, 이루어지리라고 생각할 수 없는 일에 기대를 걺을 비유적으로 이르는 말.",표준국어대사전,속담
배나무에 배 열리지 감 안 열린다,모든 일은 근본에 따라 거기에 걸맞은 결과가 나타나는 것임을 비유적으로 이르는 말.,표준국어대사전,속담
배도 사람 믿고 산다,음식을 한꺼번에 너무 많이 먹는 사람을 핀잔하여 이르는 말.,표준국어대사전,속담
배동 서다,(벼의 이삭이) 나오려고 대가 불룩하여지다.,고려대 한국어대사전,관용구
배만 부르면 제 세상인 줄 안다,"배불리 먹기만 하면 아무 근심 걱정을 모른다는 말.,돈만 있으면 제 세상인 줄 알고 제멋대로 행동한다는 말.",표준국어대사전,속담
배보다 배꼽이 더 크다,"발보다 거기에 붙은 발가락이 더 크다는 뜻으로, 기본이 되는 것보다 덧붙이는 것이 더 많거나 큰 경우를 비유적으로 이르는 말.",표준국어대사전,속담
배부른 놈이 잠도 많이 잔다,"배가 고프면 잠도 잘 오지 않는다는 뜻으로, 배가 불러야 모든 게 잘된다는 말.",표준국어대사전,속담
배부른 데 선떡 준다,"배가 부를 때 선떡을 주면 아무 고마움을 못 느낀다는 뜻으로, 생색이 나지 않는 짓을 함을 비유적으로 이르는 말.",표준국어대사전,속담
배심 대다,거리낌 없이 뱃심을 부리다.,표준국어대사전,관용구
배심 무던하다,뱃심이 어지간히 든든하다.,우리말샘,관용구
배에 기름이 끼다〔오르다〕,(사람이) 경제적으로 넉넉해지다.,고려대 한국어대사전,관용구
배에 기름이 오르다,살림이 넉넉하여지다.,표준국어대사전,관용구
배에 기름이 지다,잘 먹어 몸에 살이 오르다.,우리말샘,관용구
배에 발기름이 꼈다,"배에 기름살이 끼어 불룩하게 나왔다는 뜻으로, 없이 지내던 사람이 생활이 넉넉해져서 호기를 부리고 떵떵거림을 비유적으로 이르는 말.",표준국어대사전,속담
배에 발기름이 꼈다〔끼다〕,"배에 지방이 끼어 불룩히 나왔다는 뜻으로, 없이 지내던 사람이 조금 잘살게 되었다고 호기를 부리고 떵떵거림을 이르는 말.",고려대 한국어대사전,속담
배에서 꼬르륵 소리가 나다,(사람이) 몹시 배가 고프다.,고려대 한국어대사전,관용구
배우는 것은 죽을 때까지 배워도 다 못 배운다,"죽을 때까지 배워도 다 배우지 못한다는 뜻으로, 나이가 든 후에도 끊임없이 배우고 수양을 높이는 것이 중요함을 이르는 말.",표준국어대사전,속담
배의 때를 벗다,형편이 나아져서 주리던 배를 채울 수 있게 되다.,우리말샘,관용구
배지 아니한 아이를 낳으라 한다,"아직 배지도 않은 아이를 낳으라고 요구한다는 뜻으로, 무리한 요구를 함을 비유적으로 이르는 말.",표준국어대사전,속담
배짱 내밀다,배짱 있는 태도를 취하다.,표준국어대사전,관용구
배짱 대다〔부리다〕,(사람이) 배짱을 드러내어 굽히지 아니하고 버티어 나가다. (=배짱(을) 내밀다.),고려대 한국어대사전,관용구
배짱 좋다,(사람이) 담력과 박력이 있어서 어떠한 것도 무서워하지 않는다.,고려대 한국어대사전,관용구
배짱 튀기다〔퉁기다〕,(어떤 사람이 다른 사람에게) 고자세로 버티다.,고려대 한국어대사전,관용구
배짱을 대다,배짱을 드러내어 굽히지 아니하고 버티어 나가다.,표준국어대사전,관용구
배추 밑에 바람이 들었다,남 보기에 절대로 그럴 것 같지 않은 사람이 좋지 못한 짓을 하는 경우를 비유적으로 이르는 말.,표준국어대사전,속담
배틀걸음 치다,몹시 배틀거리며 걷다.,표준국어대사전,관용구
배포 크다,(사람이) 도량과 담력이 크다.,고려대 한국어대사전,관용구
백 길 낭떠러지 우에 서 있다,매우 위험하거나 곤란함을 비유적으로 이르는 말.,우리말샘,속담
백 리만 걸으면 눈섭조차 무겁다,먼길을 오래 걸으면 몹시 지쳐서 몸에 지닌 하찮은 것조차 무겁고 귀찮아짐을 비유적으로 이르는 말.,우리말샘,속담
백 마디 말보다 실천이 귀중하다,말을 많이 하는 것보다 실천하는 것이 더 중요하다는 말.,우리말샘,속담
백 명의 외적보다 한 명의 내적이 더 위험하다,숨어든 적이나 배신자 한 명이 밖에 있는 많은 적보다 오히려 큰 해를 끼친다는 말. <동의 속담> ‘대내 한 놈의 적은 대외 백 놈의 적보다 더 무섭다’,우리말샘,속담
백 번 듣는 것이 한 번 보는 것만 못하다,듣기만 하는 것보다는 직접 보는 것이 확실하다는 말.,표준국어대사전,속담
백 일 장마에도 하루만 더 비 왔으면 한다,"백 일 동안이나 장마가 들어도 자기의 이해관계에 따라서 하루 더 비가 오기를 바란다는 뜻으로, 사람은 언제나 자기중심적으로 생각함을 비유적으로 이르는 말.",고려대 한국어대사전,속담
백 일 장마에도 하루만 더 비가 왔으면 한다,"사람이 일기에 대하여 자기 본위로 생각하거나 요구한다는 말.,사람은 자기 본위로 생각한다는 말.",표준국어대사전,속담
백 자 대 끝에 서 있다,"높이가 백 자나 되는 아슬아슬한 장대 끝에 서 있다는 뜻으로, 몹시 위태로운 처지에 있음을 비유적으로 이르는 말.",표준국어대사전,속담
백 톤의 말보다 일 그램의 실천,말을 많이 하는 것보다 실천하는 것이 더 중요하다는 말.,고려대 한국어대사전,속담
백결 치다,"흰옷을 입은, 수없이 많은 군중이 모여들어 웅성거리다.",우리말샘,관용구
백년을 다 살아야 삼만 육천 일,아무리 사람이 오래 산다고 해도 헤아려 보면 지극히 짧은 세월임을 이르는 말.,고려대 한국어대사전,속담
백모래밭에 금 자라 걸음,맵시를 내고 아양을 부리며 아장아장 걷는 여자의 걸음을 비유적으로 이르는 말. <동의 속담> ‘대명전 대들보의 명매기 걸음’ ‘양지 마당에 씨암탉 걸음’,우리말샘,속담
백성의 입 막기는 내 막기보다 힘들다,"백성들 속에서 일어나는 사회적 여론을 막는 것은 흐르는 냇물을 막기보다도 어렵다는 뜻으로, 국민의 여론이나 소문을 막을 수 없음을 비유적으로 이르는 말.",표준국어대사전,속담
백에 하나,"백에 하나밖에 없다는 뜻으로, 매우 희귀함을 비유적으로 이르는 말.",표준국어대사전,속담
백에서 하나를 고르다,"백 가지나 백 개 가운데서 하나를 고른다는 뜻으로, 많은 것 가운데 가장 중요한 알맹이를 고름을 비유적으로 이르는 말.",우리말샘,속담
백옥이 진토에 묻힌다,"흰 구슬이 흙먼지 속에 파묻혀 빛을 내지 못한다는 뜻으로, 유능한 사람이 재능을 드러내지 못하고 묻혀 있음을 비유적으로 이르는 말.,겉으로는 곤궁하게 보이나 본색은 변함없이 훌륭함을 비유적으로 이르는 말.",표준국어대사전,속담
백을 가지고 백을 보여 주다,현실을 기계적으로 복사하거나 옮겨 놓는 일을 비유적으로 이르는 말.,표준국어대사전,속담
백장도 올가미가 있어야지,"무엇이든 장사에는 밑천이 있어야 한다는 뜻으로, 무슨 일이든 준비가 있어야 한다는 말.",고려대 한국어대사전,속담
백장이 버들잎 물고 죽는다,"고리백장은 죽을 때 제가 늘 쓰던 버들잎을 물고 죽는다는 뜻으로, 사람은 죽는 날까지 늘 하던 짓을 버리지 못함을 이르는 말.,죽을 때를 당하여도 자기의 근본을 잊지 않음을 비유적으로 이르는 말.",표준국어대사전,속담
백장이 버들잎을 물고 죽는다,"고리백정은 늘 가지고 놀던 버들잎을 물고 죽는다는 뜻으로, 죽을 때에도 제 근본을 버리지 못함을 이르는 말.",고려대 한국어대사전,속담
백장이 양반 행세를 하면 개가 짖는다,"백정이 잘 입고 점잔을 부려 양반 행세를 하려 하나 고기 냄새가 나 개가 짖는다는 뜻으로, 겉모양을 잘 꾸미어도 본색은 감추기 어려움을 이르는 말.",표준국어대사전,속담
백정네 송아지 제 죽을 날 모른다,남보다 잘 알 수 있는 환경에 있으면서도 미리 알아내지 못하고 끝내 화를 입게 되는 경우를 비유적으로 이르는 말.,우리말샘,속담
백지 한 장도 맞들면 낫다,쉬운 일이라도 협력하여 하면 훨씬 쉽다는 말.,표준국어대사전,속담
백지 한 장의 차이,아주 근소한 차이를 비유적으로 이르는 말.,표준국어대사전,관용구
백지장에 물 한 방울 떨어지듯,매우 사소하지만 흔적이 남을 때 이르는 말.,표준국어대사전,속담
백차일 치듯,흰옷 입은 사람들이 매우 많이 모여 있는 모양을 이르는 말.,고려대 한국어대사전,관용구
밴 아이 사내 아니면 계집이지,앞으로 결정될 일이 뻔히 둘 중의 하나인데 괜히 쓸데없는 걱정을 할 경우에 핀잔하여 이르는 말. (=배 안의 아이 아들 아니면 딸이다.),고려대 한국어대사전,속담
밸 뽑다,(속되게) 마음속의 생각을 다 털어놓다.,우리말샘,관용구
밸이 곤두서다,비위에 거슬려 몹시 성이 나다.,표준국어대사전,관용구
밸이 꼴리다〔뒤틀리다〕,(사람이) 비위에 거슬려 아니꼽다.,고려대 한국어대사전,관용구
밸이 세다,[같은 관용구] 배알이 세다.,표준국어대사전,관용구
뱀 기여간 자리,‘배 지나간 자리’의 북한 관용구.,표준국어대사전,관용구
뱀 본 새 짖어대듯,뱀을 본 새가 야단스럽게 지저귀듯 몹시 시끄럽게 떠듦을 비유적으로 이르는 말.,고려대 한국어대사전,속담
뱀을 그리고 발까지 단다,쓸데없는 것을 덧붙여서 오히려 못쓰게 만듦을 비유적으로 이르는 말.,표준국어대사전,속담
뱀의 세상에 난 개구리,"개구리를 잡아먹는 뱀이 우글거리는 곳에 태어난 개구리와 같은 신세라는 뜻으로, 늘 기를 못 펴고 살면서 불행만 당하게 되는 처지를 비유적으로 이르는 말.",우리말샘,속담
뱀장어 눈은 작아도 저 먹을 것은 다 본다,"뱀장어의 눈이 작게 생겼어도 제가 보아야 할 것은 다 본다는 뜻으로, 먹을 것을 잘 찾아 먹음을 비유적으로 이르는 말.",표준국어대사전,속담
뱁새는 작아도 알만 잘 낳는다,"생김새가 작고 볼품없다 해도 제구실은 다 한다는 말. (=거미는 작아도 줄만 잘 친다, 제비는 작아도 강남을 간다, 참새가 작아도 알만 잘 깐다.)",고려대 한국어대사전,속담
뱃가죽 두껍다,"(사람이) 염치가 없거나 배짱이 세다. (=낯가죽(이) 두껍다, 낯(이) 두껍다, 면피(가) 두껍다, 안면(이) 두껍다, 얼굴 가죽(이) 두껍다, 얼굴(이) 두껍다.)",고려대 한국어대사전,관용구
뱃놈 배 둘러대듯,뱃사공이 뱃머리를 아무 쪽으로나 쉽게 돌려 대듯이 상황에 따라 이리저리 말을 잘 둘러대는 모양을 비유적으로 이르는 말.,표준국어대사전,관용구
뱃놈의 개,"배에서 기르는 개는 도둑을 지킬 필요가 없다는 뜻으로, 하는 일 없이 놀고먹는 사람을 비유적으로 이르는 말.",표준국어대사전,속담
뱃속 채우다,(사람이) 염치를 모르고 자신의 이익만 차리다.,고려대 한국어대사전,관용구
뱃심 부리다,(사람이) 염치나 두려움이 없이 제 고집대로 하는 태도를 드러내다.,고려대 한국어대사전,관용구
버력 입다,(사람이) 하늘이나 신령의 벌을 받다.,고려대 한국어대사전,관용구
버릇 떼 놓다,나쁜 버릇을 비판하거나 혼내어 고치게 하다.,표준국어대사전,관용구
버린 님 못 잊어 한숨짓는 격,"사랑하던 사람을 제가 싫다고 갈라지고서는 후에 가서 그를 못 잊어 한숨짓는다는 뜻으로, 제가 스스로 저버리고 돌아보지 않던 것을 새삼스럽게 그리워하며 뉘우침을 비유적으로 이르는 말.",우리말샘,속담
버선목에 서 말이 들겠느냐,[같은 속담] 버선목에 한 섬 들가.,표준국어대사전,속담
버선목에 이 잡을 때 보아야 알지,"지금은 모르더라도 장차 거지가 되어 버선목에서 이를 잡는 처지가 되어 보아야 알 수 있다는 뜻으로, 지금 잘 산다고 너무 자랑하고 뽐내지 말라는 말.",표준국어대사전,속담
버선목에 한 섬 들가,"좁고 작은 버선목에 한 섬이나 되는 많은 분량이 들어갈 수 없다는 뜻으로, 워낙 능력이 작기 때문에 엄청나게 크거나 많은 것을 받아들일 수 없음을 비유적으로 이르는 말.",표준국어대사전,속담
버선이라면 뒤집어나 보이지,버선이 아니라서 뒤집어 보일 수도 없기 때문에 상대방의 의심을 풀어 주지 못하여 매우 답답하다는 말.,고려대 한국어대사전,속담
번갯불에 콩 볶아〔회 쳐〕 먹겠다,"행동이 매우 민첩함을 이르는 말.,어떤 행동을 당장 해치우지 못하여 안달하는 조급한 성질을 비유적으로 이르는 말.",고려대 한국어대사전,속담
번갯불에 회 쳐 먹겠다,"번쩍하는 번갯불에 회 쳐 먹을 만하다는 뜻으로, 행동이 매우 민첩함을 이르는 말. <동의 속담> ‘번갯불에 콩 볶아 먹겠다’ ‘번갯불에 담배 붙이겠다[붙인다]’",우리말샘,속담
번연히 알면서 새 바지에 똥 싼다,사리 판단을 할 줄 아는 사람이 실수를 저지르는 경우를 비유적으로 이르는 말.,표준국어대사전,속담
번을 갈다,"(어떤 사람이 다른 사람과, 또는 둘 이상의 사람이) 차례에 따라 갈마들거나 갈마들이다.",고려대 한국어대사전,관용구
번을 나다,(사람이) 번을 치르고 나오다.,고려대 한국어대사전,관용구
번을 나들다,"(사람이) 번차례로 번서는 곳을 들고 나고 하다.,(사람이) 차례를 바꾸어 들고 나고 하다.",고려대 한국어대사전,관용구
번을 들다,(사람이) 번의 차례가 되어 번서는 곳으로 들어가다.,고려대 한국어대사전,관용구
벋어 가는 칡도 한이 있다,"칡이 기세 좋게 벋어 나가지만 그것도 한계가 있다는 뜻으로, 무엇이나 성하는 것도 한도가 있음을 이르는 말.",표준국어대사전,속담
벌둥지를 쑤셔 놓은 것 같다,‘벌집 쑤시어 놓은 것 같다’의 북한 관용구.,표준국어대사전,관용구
벌레 먹은 배추 잎 같다,"벌레가 파먹은 배추의[삼의] 잎사귀 같다는 뜻으로, 얼굴에 검버섯이나 기미가 많이 낀 모양을 비유적으로 이르는 말.",우리말샘,속담
벌레 먹은 준저리콩 같다,‘벌레 먹은 배추[삼] 잎 같다’의 북한 속담.,표준국어대사전,속담
벌은 쏘아도 꿀은 달다,"벌에 쏘이면 아프지만 벌이 만들어 놓은 꿀은 달다는 뜻으로, 성가신 장애물이 있기는 하지만 자기에게 이로운 것이 있음을 비유적으로 이르는 말.",표준국어대사전,속담
벌이줄 잡다,연에 벌이줄을 매다.,표준국어대사전,관용구
벌집 보고 꿀돈 내여 쓴다,‘너구리 굴 보고 피물 돈 내어 쓴다’의 북한 속담.,표준국어대사전,속담
벌통 쑤신 것 같다,벌통을 건드려서 벌들이 있는 대로 몰려나와 쏘아 대듯이 온통 난장판이 되어 매우 어수선함을 비유적으로 이르는 말.,표준국어대사전,관용구
범 가는 데 바람 간다,반드시 같이 다녀서 둘이 서로 떠나지 아니할 경우를 비유적으로 이르는 말.,표준국어대사전,속담
범 같은 시어미도 활등같이 휘여 살랬다,"아무리 엄하고 사나운 시어미라 할지라도 성이 나는 대로 꼿꼿이 지내지 말고 활등 휘어들듯이 성미를 죽이며 살아야 공대받으며 집안이 화목하게 잘 살 수 있음을 비유적으로 이르는 말.,범같이 무서운 시어미도 싹싹하고 고분고분하면서 성의껏 받들고 잘 섬기면 집안의 화목을 도모하여 살아갈 수 있음을 비유적으로 이르는 말.",표준국어대사전,속담
범 되다가 만 시라소니,"범의 새끼들 가운데서 지지리 못난 것이 스라소니가 되었다는 전설에서 나온 말로, 훌륭하게 되려다가 자질이나 힘이 모자라서 그렇게 되지 못한 사람을 비유적으로 이르는 말.",표준국어대사전,속담
범 무서워 산에 못 가랴,"아무리 범이 무섭다고 한들 산에 못 갈 것 없다는 뜻으로, 어떤 장애가 있더라도 그 어려움을 물리치고 해야 할 일은 반드시 해야 함을 비유적으로 이르는 말.",표준국어대사전,속담
범 무서워하는 놈 산에 못 간다,"범이라고 하면 벌벌 떠는 사람은 산에 들어가기도 전에 어려워한다는 뜻으로, 어떤 일을 하기도 전에 겁부터 먹으면 그 일을 해내지 못함을 비유적으로 이르는 말.",표준국어대사전,속담
범 본 여편네 창구멍을 틀어막듯,"범을 본 여편네가 질겁하여 범이 창구멍으로 들어오지나 않을까 걱정하여 창구멍을 틀어막는다는 뜻으로, 급한 나머지 임시변통으로 어리석게 맞추려는 모양을 비유적으로 이르는 말.,허겁지겁 밥을 퍼먹는 모양을 비유적으로 이르는 말.",표준국어대사전,속담
범 없는 골에 삵이 범 노릇 한다,‘호랑이 없는 골에 토끼가 왕 노릇 한다’의 북한 속담.,표준국어대사전,속담
범 없는 골에 토끼가 스승이라,뛰어난 사람이 없는 곳에서 보잘것없는 사람이 득세함을 비유적으로 이르는 말.,표준국어대사전,속담
범 없는 산에서 오소리가 왕질한다,‘호랑이 없는 골에 토끼가 왕 노릇 한다’의 북한 속담.,우리말샘,속담
범도 궁하면 가재를 잡아먹는다,[같은 속담] 범이 배고프면 가재도 뒤진다.,표준국어대사전,속담
범도 새끼 둔 골을 두남둔다,"범과 같은 사나운 동물도 제 새끼를 두고 온 골짜기는 끔찍이 여긴다는 뜻으로, 누구나 제 자식 일은 늘 마음에 두고 생각하며 잘해 주려 함을 비유적으로 이르는 말.,누구나 사정이 없을 수 없다는 말.",고려대 한국어대사전,속담
범도 새끼 둔 골을 센다,"범과 같이 모진 짐승도 제 새끼를 두고 온 골은 힘써 도와주고 끔찍이 여긴다는 뜻으로, 비록 악인이라도 제 자식의 일은 늘 마음에 두고 생각하며 잘해 준다는 것을 비유적으로 이르는 말.",표준국어대사전,속담
범도 죽을 때 제 굴에 가서 죽는다,누구나 죽을 때는 자기가 난 고장을 그리워함을 비유적으로 이르는 말.,표준국어대사전,속담
범에게 개를 빌려 준 셈,염치와 예의도 모르는 사람에게 그 사람이 좋아하는 물건을 맡겨 놓으면 틀림없이 그 물건을 잃게 됨을 비유적으로 이르는 말. (=범 아가리에 날고기 넣은 셈.),고려대 한국어대사전,속담
범은 그려도 뼈다귀는 못 그린다,"비록 범은 그릴 수 있으나 가죽 속에 있는 범의 뼈는 그릴 수 없다는 뜻으로, 겉모양이나 형식은 쉽게 파악할 수 있어도 그 속에 담긴 내용은 알기가 어려움을 비유적으로 이르는 말.,사람의 겉만 보고 그 사람의 속마음을 알 수 없음을 비유적으로 이르는 말.",표준국어대사전,속담
범을 그리려다 개〔고양이〕를 그린다,시작할 때는 크게 마음먹고 훌륭한 것을 만들려고 했으나 생각과는 다르게 초라하고 엉뚱한 것을 만들게 됨을 비유적으로 이르는 말. (=호랑이를 그리려다가 고양이를 그린다.),고려대 한국어대사전,속담
범을 피하니 이리가 앞을 막는다,"무서운 범을 겨우 피하니 이번에는 사나운 이리가 앞을 가로막아 섰다는 뜻으로, 한 가지 위험에서 벗어나니 또 새로운 위험이나 난관에 부닥치게 됨을 비유적으로 이르는 말.",표준국어대사전,속담
범의 아가리를 벗어나다,매우 위급한 경우를 벗어나다.,표준국어대사전,관용구
범의 아가리에 개를 뀌인 셈,‘범 아가리에 날고기 넣은 셈’의 북한 속담.,우리말샘,속담
범의 애비에 개 새끼,"아비는 용맹으로 이름을 떨치는 범인데 새끼는 보잘것없는 개 새끼에 지나지 않는다는 뜻으로, 부모들에 비하여 자식이 보잘것없음을 비유적으로 이르는 말.",표준국어대사전,속담
범이 날고기 먹을 줄 모르나,뻔한 사실임을 비유적으로 이르는 말.,고려대 한국어대사전,속담
범이 담배를 피우고 곰이 막걸리를 거르던 때,지금과는 형편이 다른 아주 까마득한 옛날을 이르는 말. <동의 속담> ‘호랑이 담배 먹을[피울] 적’,우리말샘,속담
범이 미친개 물어 간 것 같다,"성가시게 굴거나 괴롭게 굴던 미친개를 범이 잡아가서 몹시 시원하다는 뜻으로, 성가시게 굴던 것이 없어져서 매우 시원함을 비유적으로 이르는 말. <동의 속담> ‘미친개 범 물어 간 것 같다’ ‘도적고양이 범 물어 간 것만 하다’",우리말샘,속담
